theta,res,rmse,rmse_std,r2,r2_std,timeSeconds
10,10,2.337591846847731,0.10200325206398549,0.3896066778672043,0.027059410941544997,2.8622334003448486
10,20,2.316549073656886,0.11410569690689629,0.4008194744596315,0.027377922683379016,2.594057083129883
10,40,2.3036873528076405,0.12336296312732195,0.4075914136283033,0.029958402170091176,4.296437978744507
10,60,2.3052984186006142,0.11394030626299918,0.40661404108925686,0.027560831688145188,7.495539426803589
10,80,2.301123928145567,0.1192324372057297,0.4090436719523162,0.02453204623634418,8.240523338317871
10,100,2.293794665273187,0.11738341399281955,0.41264468229126783,0.026964034074861913,9.893426656723022
10,140,2.2983285898501475,0.1118431784938919,0.41032197147730587,0.023441536825989522,13.40427851676941
10,180,2.296872989257173,0.11438226295833318,0.41105281415009776,0.02539740556985052,18.100327968597412
10,200,2.302326568846889,0.11922259497848124,0.4082898659974138,0.027441749232328238,18.655452489852905
20,10,2.3422328869419378,0.12211086149553134,0.3870300391010292,0.03948508455486448,2.0533530712127686
20,20,2.327717839245342,0.11543880467414666,0.3945416695690176,0.03757890261716716,3.5636470317840576
20,40,2.324687427675715,0.11117921863838409,0.3961139337172945,0.03512224494776945,6.799973726272583
20,60,2.3266973182168895,0.1158458205664908,0.3949680177221869,0.03882082016847859,10.006242036819458
20,80,2.3214951463673135,0.10865203030302353,0.3975047945137523,0.03830412177123524,13.431689977645874
20,100,2.3174576372100755,0.1118116720645278,0.39996405813258135,0.03396849686752363,17.336021900177002
20,140,2.323591216632566,0.10890706778831359,0.3966594668936977,0.034491956171006276,23.580600261688232
20,180,2.3295348659569104,0.112564351995699,0.3935759543911927,0.035946381982589495,31.57518458366394
20,200,2.3225496311892675,0.1162826513968247,0.3971200643512767,0.03875011146674637,35.61347937583923
40,10,2.26410507057117,0.1082567232185674,0.4272024931572214,0.032896887026508434,3.7995376586914062
40,20,2.260263031749949,0.11249112453813837,0.42938412978627916,0.030415637425063972,7.283620357513428
40,40,2.2471462456754416,0.11553669488651894,0.43613930187131833,0.02956536379591433,15.386006593704224
40,60,2.245247567712433,0.11256227779526243,0.43689807225559935,0.031251362401930854,24.82448172569275
40,80,2.2411139435077456,0.11046612138341762,0.438966413941431,0.030669935644299564,33.29237341880798
40,100,2.248258755229829,0.1177322834244871,0.43545145118259876,0.03281035762527819,41.5560576915741
40,140,2.239353052386037,0.11821606117608958,0.43993161402090947,0.03290032248305247,58.50534701347351
40,180,2.2558568329707414,0.10884892212776363,0.4314181089264954,0.03224028210345645,76.66834926605225
40,200,2.2394309693616976,0.10922869351714112,0.4397998271906827,0.029800587338297015,87.04838347434998
60,10,2.271636766310804,0.13108055169098237,0.4238419648077329,0.03637962554490023,4.919931411743164
60,20,2.2148829128344976,0.12158276136075198,0.45221114569252335,0.032200390500893517,9.084351778030396
60,40,2.203654612525971,0.13591472761171758,0.45800777958144545,0.034955963168837256,18.950735807418823
60,60,2.2152955433732,0.14113387161738927,0.45213505651781016,0.03907452074725609,33.74356746673584
60,80,2.2088867764277027,0.14756823395426008,0.4554125185263829,0.040473481179808736,43.65906596183777
60,100,2.2089783639987983,0.13902860884171164,0.4554609405284299,0.03516803469447005,57.826996088027954
60,140,2.216386801268157,0.13440624414344735,0.4516053364767396,0.035724523867260646,86.25479912757874
60,180,2.2022879994561064,0.12673195282050417,0.45834513320335873,0.03562380111987336,113.18691039085388
60,200,2.217055643694332,0.1309633695193733,0.451165922958163,0.03627184091146494,128.94254803657532
80,10,2.24878266889733,0.11893359518605685,0.4353118601238304,0.031020187476179073,6.752274751663208
80,20,2.2220065500083264,0.11523202200987852,0.44866519297374075,0.029481069651931556,14.33807897567749
80,40,2.23022008435403,0.10645113005406324,0.44415507241993246,0.032677293788576735,32.04881262779236
80,60,2.217041620895718,0.11457879403301048,0.45083159251263794,0.03401778375920706,49.378395557403564
80,80,2.2178340534031844,0.11912809694546911,0.450563450559698,0.034146350947388146,71.47836542129517
80,100,2.2121162236470013,0.10964503781716962,0.4535032868859335,0.02766388625900205,91.66155481338501
80,140,2.2237548117181185,0.12086343087261317,0.4474757100558177,0.036977917285917566,136.33932089805603
80,180,2.2139677845252446,0.11429494693274263,0.45238046083750366,0.0335579524739065,179.0263478755951
80,200,2.2085771947089983,0.11436307918751272,0.45497036931089896,0.0347739493512783,209.60091423988342
100,10,2.2420173407478083,0.11166875798309772,0.43838015709451933,0.032997308302124904,7.91794490814209
100,20,2.2294503679535733,0.12245658502454064,0.4448446411935259,0.034768440033794784,16.5169677734375
100,40,2.226488007824659,0.12190575761778522,0.446341183094457,0.03412305058146827,39.15225338935852
100,60,2.2291620898027373,0.10997444950127763,0.4449935899327272,0.02862836249451184,61.70593810081482
100,80,2.2314945833252415,0.12340992137661799,0.4438065658502028,0.03542138716679582,84.26670455932617
100,100,2.212648208697909,0.11931026340594723,0.45310824970468866,0.03424177265090146,109.581547498703
100,140,2.229723655514603,0.12096857372309774,0.4447029538582946,0.03416313899182936,163.8917281627655
100,180,2.2298656956931593,0.10807544083295315,0.4445629078665682,0.029494591187488223,228.415452003479
100,200,2.2231013484983793,0.12429403541312357,0.4479984161910191,0.035458368489283784,265.34631609916687
140,10,2.2250601953779734,0.11255176965523149,0.4470675834355081,0.029721030962100263,17.064502477645874
140,20,2.2176876057683286,0.1197445311513224,0.45054312346000175,0.03565817457935271,38.79749345779419
140,40,2.2195277711780728,0.12693296042046034,0.4497992994165586,0.03607098863517997,80.68728613853455
140,60,2.2185611896174415,0.11771496268529456,0.45019568351920813,0.033640759827033004,132.25894045829773
140,80,2.2144645942892884,0.11154486770647906,0.45227573716557323,0.029538024584886444,181.37052273750305
140,100,2.1991802652557717,0.12473283026078674,0.45980532787042794,0.035464446472869116,238.25935769081116
140,140,2.2005579249100164,0.12447143503511639,0.459240923112277,0.03353719440997544,368.2357602119446
140,180,2.2095762557944147,0.12668249552582153,0.45489151382423537,0.03355615672092712,514.5422165393829
140,200,2.2086740399393925,0.1290645180304592,0.4552163138989663,0.03636712046061963,594.2563252449036
180,10,2.2195282797097446,0.12132800607748201,0.45001727014061466,0.030057711941120918,22.992238521575928
180,20,2.202303568591555,0.13290209795407337,0.4585804478191339,0.034806577733080483,53.31476712226868
180,40,2.18860157297265,0.11790420163281393,0.4650135781984601,0.03204840487197643,109.17524480819702
180,60,2.217033957910263,0.13174000374286968,0.4510133561474564,0.038777873735795616,183.38029050827026
180,80,2.1940002714570284,0.12797106110120177,0.46236700671161035,0.03687383363367062,1982.703220129013
180,100,2.198424494256756,0.1177888034003944,0.4604106852115204,0.028871567535739936,225.32503175735474
180,140,2.19314224335841,0.12672215527285138,0.4629498804383867,0.03404430879285051,354.02403712272644
180,180,2.195489215826082,0.12506769057221556,0.4617816723773678,0.033421826441831365,494.1671316623688
180,200,2.180428071124263,0.12423591376518785,0.46922795071650636,0.03150363098374764,577.608405828476
200,10,2.2249093166044154,0.1174606415253634,0.44713334611554084,0.03202897581488095,16.204681634902954
200,20,2.223026749077124,0.11821390826216151,0.4480784649593058,0.03206810205996806,38.34165811538696
200,40,2.2232683467503307,0.1151824945215994,0.4479750377543773,0.03066849691440466,87.20135068893433
200,60,2.215318512631847,0.11990625176005805,0.4519499943343078,0.03246140757451409,135.27167391777039
200,80,2.21071026665985,0.11461852044784403,0.45411645877520634,0.031525285038417415,201.1527795791626
200,100,2.207989448775843,0.11981381307021799,0.45557033463316915,0.03212283525432302,252.91752815246582
200,140,2.2090283339993277,0.12213078917365557,0.45516808739261866,0.031153982811133556,384.7115833759308
200,180,2.217089333924824,0.12354382373313848,0.45117777319815877,0.032231905609980877,550.8856573104858
200,200,2.214252198245892,0.12291196329126523,0.4526454895915101,0.030885171668016322,697.9831750392914
